club,club_id,number,name,short_name,DoB,poste,lequipe_id
Lille ,43,,Orestis Karnezis,O. Karnezis,11/07/85,Gar.,28151
Lille ,43,30,Léo Jardim,Léo Jardim,20/03/95,Gar.,69885
Lille ,43,40,Jules Raux,J. Raux,29/08/03,Gar.,90442
Lille ,43,,Saad Agouzoul,S. Agouzoul,10/08/97,Déf.,75851
Lille ,43,4,Sven Botman,S. Botman,12/01/00,Déf.,76304
Lille ,43,,Ismail Bouleghcha,I. Bouleghcha,09/12/02,Déf.,85667
Lille ,43,29,Domagoj Bradaric,D. Bradaric,10/12/99,Déf.,71095
Lille ,43,2,Mehmet Zeki Çelik,M. Çelik,17/02/97,Déf.,68652
Lille ,43,3,Tiago Djalo,T. Djalo,09/04/00,Déf.,76323
Lille ,43,6,José Fonte,J. Fonte,22/12/83,Déf.,40505
Lyon (OL) ,22,17,Malo Gusto,M. Gusto,19/05/03,Déf.,83189
Lyon (OL) ,22,12,Henrique,Henrique,25/04/94,Déf.,73302
Lyon (OL) ,22,34,Irvyn Lomami,I. Lomami,30/12/03,Déf.,90739
Lyon (OL) ,22,4,Castello Lukeba,C. Lukeba,17/12/02,Déf.,83190
Lyon (OL) ,22,,Abdoulaye Niakaté Ndiaye,A. Ndiaye,10/04/02,Déf.,54571
Lyon (OL) ,22,,Hugo Vogel,H. Vogel,04/01/04,Déf.,92991
Lyon (OL) ,22,8,Houssem Aouar,H. Aouar,30/06/98,Mil.,58614
Lyon (OL) ,22,,Samuel Bossiwa Bessolo,S. Bossiwa Bessolo,,Mil.,82949
Lyon (OL) ,22,25,Maxence Caqueret,M. Caqueret,15/02/00,Mil.,60090
Lyon (OL) ,22,18,Rayan Cherki,R. Cherki,17/08/03,Mil.,76664
Lyon (OL) ,22,28,Florent Da Silva,F. Da Silva,02/04/03,Mil.,78403
Lens ,9,1,Wuilker Fariñez,W. Fariñez,15/02/98,Gar.,56515
Lens ,9,16,Jean-Louis Leca,J. Leca,21/09/85,Gar.,21014
Lens ,9,30,Valentino Lesieur,V. Lesieur,18/03/03,Gar.,89415
Lens ,9,40,Yannick Pandor,Y. Pandor,01/05/01,Gar.,75071
Lens ,9,11,Jonathan Clauss,J. Clauss,25/09/92,Déf.,58625
Lens ,9,4,Kevin Danso,K. Danso,19/09/98,Déf.,62707
Lens ,9,24,Jonathan Gradit,J. Gradit,24/11/92,Déf.,42256
Lens ,9,21,Massadio Haïdara,M. Haïdara,02/12/92,Déf.,36954
Lens ,9,,Oumar Kamara,O. Kamara,29/12/03,Déf.,84117
Lens ,9,3,Deiver Machado,D. Machado,02/09/93,Déf.,63927
Lens ,9,14,Facundo Medina,F. Medina,28/05/99,Déf.,73964
Clermont,242,40,Ouparine Djoco,O. Djoco,22/04/98,Gar.,69222
Clermont,242,16,Lucas Margueron,L. Margueron,12/02/01,Gar.,72197
Clermont,242,17,Josué Albert,J. Albert,21/01/92,Déf.,36996
Clermont,242,5,Jean-Claude Billong,J. Billong,28/12/93,Déf.,64816
Clermont,242,3,Julien Boyer,J. Boyer,10/04/98,Déf.,66552
Clermont,242,4,Cédric Hountondji,C. Hountondji,19/01/94,Déf.,50467
Clermont,242,16,Oliver Kamdem,O. Kamdem,15/10/02,Déf.,93459
Clermont,242,15,Arial Mendy,A. Mendy,07/11/94,Déf.,69086
Clermont,242,12,Vital Nsimba,V. Nsimba,08/07/93,Déf.,42262
Clermont,242,21,Florent Ogier,F. Ogier,21/03/89,Déf.,33717
Clermont,242,23,Jérôme Phojo,J. Phojo,15/04/93,Déf.,36641
Monaco ,25,10,Wissam Ben Yedder,W. Ben Yedder,12/08/90,Att.,35310
Monaco ,25,9,Myron Boadu,M. Boadu,14/01/01,Att.,64351
Monaco ,25,35,Valentin Salatiel Decarpentrie,V. Decarpentrie,06/01/02,Att.,82966
Monaco ,25,27,Krépin Diatta,K. Diatta,25/02/99,Att.,68071
Monaco ,25,7,Gelson Martins,G. Martins,11/05/95,Att.,56625
Monaco ,25,31,Kevin Volland,K. Volland,30/07/92,Att.,45822
Metz ,20,19,Habib Maïga,H. Maïga,01/01/96,Mil.,56017
Metz ,20,33,Amadou Salif Mbengue,A. Mbengue,05/01/02,Mil.,90603
Metz ,20,6,Kévin N'Doram,K. N'Doram,22/01/96,Mil.,52227
Metz ,20,14,Vincent Pajot,V. Pajot,19/08/90,Mil.,33692
Metz ,20,13,Cheikh Tidiane Sabaly,C. Sabaly,04/03/99,Mil.,69224
Metz ,20,15,Pape Matar Sarr,P. Sarr,14/09/02,Mil.,84404
Metz ,20,12,Warren Tchimbembé,W. Tchimbembé,21/04/98,Mil.,69081
Metz ,20,8,Boubacar Traoré,B. Traoré,20/08/01,Mil.,77098
Metz ,20,9,Nicolas De Préville,N. De Préville,08/01/91,Att.,33800
Metz ,20,24,Lenny Joseph,L. Joseph,12/10/00,Att.,71053
Metz ,20,34,Louis Mafouta,L. Mafouta,02/07/94,Att.,58777
Bordeaux ,18,,Guerric Bernou,G. Bernou,11/05/04,Gar.,93802
Marseille (OM) ,6,,Jonathan Pitou,J. Pitou,11/08/04,Mil.,90758
Marseille (OM) ,6,,Jores Rahou,J. Rahou,02/02/03,Mil.,77938
Marseille (OM) ,6,21,Valentin Rongier,V. Rongier,07/12/94,Mil.,50844
Marseille (OM) ,6,34,Paolo Sciortino,P. Sciortino,05/11/03,Mil.,78361
Marseille (OM) ,6,41,Cheick Souaré,C. Souaré,03/09/02,Mil.,77937
Marseille (OM) ,6,26,Oussama Targhalline,O. Targhalline,20/05/02,Mil.,84107
Marseille (OM) ,6,31,Franco Tongya,F. Tongya,13/03/02,Mil.,86317
Marseille (OM) ,6,13,Cédric Bakambu,C. Bakambu,11/04/91,Att.,32971
Marseille (OM) ,6,20,Konrad De La Fuente,K. De La Fuente,16/07/01,Att.,75440
Marseille (OM) ,6,12,Ahmadou Bamba Dieng,A. Dieng,23/03/00,Att.,84106
Marseille (OM) ,6,11,Luis Henrique,Luis Henrique,14/12/01,Att.,81333
Brest ,267,16,Sébastien Cibois,S. Cibois,02/03/98,Gar.,68392
Brest ,267,30,Grégoire Coudert,G. Coudert,03/04/99,Gar.,63841
Brest ,267,1,Gautier Larsonneur,G. Larsonneur,23/02/97,Gar.,57831
Brest ,267,17,Dénys Bain,D. Bain,02/07/93,Déf.,41218
Brest ,267,3,Lilian Brassier,L. Brassier,02/11/99,Déf.,63114
Brest ,267,5,Brendan Chardonnet,B. Chardonnet,22/12/94,Déf.,49347
Brest ,267,2,Jean-Kevin Duverne,J. Duverne,12/07/97,Déf.,55142
Brest ,267,22,Julien Faussurier,J. Faussurier,14/01/87,Déf.,29186
Brest ,267,23,Christophe Hérelle,C. Hérelle,22/08/92,Déf.,36982
Brest ,267,18,Ronaël Pierre-Gabriel,R. Pierre-Gabriel,13/06/98,Déf.,58425
Lorient ,11,10,Enzo Le Fée,E. Le Fée,03/02/00,Mil.,68093
Lorient ,11,18,Fabien Lemoine,F. Lemoine,16/03/87,Mil.,27098
Lorient ,11,,Bamo Meïté,B. Meïté,20/06/01,Mil.,83783
Lorient ,11,23,Thomas Monconduit,T. Monconduit,10/02/91,Mil.,37657
Lorient ,11,34,Baptiste Mouazan,B. Mouazan,27/09/01,Mil.,74528
Lorient ,11,7,Stéphane Diarra,S. Diarra,09/12/98,Att.,59114
Lorient ,11,13,Terem Moffi,T. Moffi,25/05/99,Att.,79353
Lorient ,11,38,Dango Ouattara,D. Ouattara,11/02/02,Att.,87013
Lorient ,11,33,Sambou Soumano,S. Soumano,13/01/01,Att.,82864
Lille ,43,34,Nassim Innocenti,N. Innocenti,19/02/02,Déf.,82113
Lille ,43,28,Reinildo Mandava,R. Mandava,21/01/94,Déf.,69682
Lille ,43,26,Jérémy Pied,J. Pied,23/02/89,Déf.,29565
Lille ,43,21,Benjamin André,B. André,03/08/90,Mil.,29477
Lille ,43,14,Rocco Ascone,R. Ascone,12/09/03,Mil.,86567
Lille ,43,7,Jonathan Bamba,J. Bamba,26/03/96,Mil.,49844
Lille ,43,,Capita,Capita,10/01/02,Mil.,83797
Lille ,43,20,Angel Gomes,A. Gomes,31/08/00,Mil.,63185
Lille ,43,34,Exaucé Mpembele Boula,E. Mpembele Boula,15/05/02,Mil.,77131
Lille ,43,27,Cheikh Niasse,C. Niasse,19/01/00,Mil.,62673
Lyon (OL) ,22,24,Pape Cheikh Diop,P. Diop,08/08/97,Mil.,58561
Lyon (OL) ,22,39,Bruno Guimaraes,B. Guimaraes,16/11/97,Mil.,68534
Lyon (OL) ,22,,Célestino Iala,C. Iala,03/01/03,Mil.,92329
Lyon (OL) ,22,23,Thiago Mendes,T. Mendes,15/03/92,Mil.,63445
Lyon (OL) ,22,,Ousseynou Ndiaye,O. Ndiaye,24/11/98,Mil.,64199
Lyon (OL) ,22,,Gael Nsombi,G. Nsombi,25/01/03,Mil.,82950
Lyon (OL) ,22,10,Lucas Paqueta,L. Paqueta,27/08/97,Mil.,70628
Lyon (OL) ,22,22,Jeff Reine-Adélaïde,J. Reine-Adélaïde,17/01/98,Mil.,55898
Lyon (OL) ,22,29,Xherdan Shaqiri,X. Shaqiri,10/10/91,Mil.,34864
Lyon (OL) ,22,32,Titouan Thomas,T. Thomas,,Mil.,69895
Lens ,9,,Malcom Musquet,M. Musquet,15/04/02,Déf.,90678
Lens ,9,,Brayann Pereira,B. Pereira,21/05/03,Déf.,93566
Lens ,9,,Cheikh Cory Sene,C. Sene,20/04/01,Déf.,76095
Lens ,9,5,Christopher Maurice Wooh,C. Wooh,18/09/01,Déf.,71171
Lens ,9,,Yacouba Barry,Y. Barry,25/11/02,Mil.,93956
Lens ,9,6,Patrick Berg,P. Berg,24/11/97,Mil.,83255
Lens ,9,18,Yannick Cahuzac,Y. Cahuzac,18/01/85,Mil.,10000000000000000000012238
Lens ,9,28,Cheick Doucouré,C. Doucouré,08/01/00,Mil.,69550
Lens ,9,8,Seko Fofana,S. Fofana,07/05/95,Mil.,46821
Lens ,9,29,Przemyslaw Frankowski,P. Frankowski,12/04/95,Mil.,67830
Lens ,9,10,Gaël Kakuta,G. Kakuta,21/06/91,Mil.,32442
Clermont,242,36,Alidu Seidu,A. Seidu,04/06/00,Déf.,82650
Clermont,242,20,Akim Zedadka,A. Zedadka,30/05/95,Déf.,52997
Clermont,242,19,Salis Abdul Samed,S. Abdul Samed,26/03/00,Mil.,76116
Clermont,242,22,Oriol Busquets,O. Busquets,20/01/99,Mil.,65997
Clermont,242,28,Yadaly Diaby,Y. Diaby,09/08/00,Mil.,93026
Clermont,242,24,Jodel Dossou,J. Dossou,17/03/92,Mil.,52522
Clermont,242,25,Johan Gastien,J. Gastien,25/01/88,Mil.,29180
Clermont,242,2,Fred Gnalega,F. Gnalega,08/10/01,Mil.,85765
Clermont,242,29,Naël Jaby,N. Jaby,20/04/01,Mil.,75989
Clermont,242,6,Saîf-Eddine Khaoui,S. Khaoui,27/04/95,Mil.,52507
Clermont,242,7,Yohann Magnin,Y. Magnin,21/06/97,Mil.,69218
Metz ,20,11,Opa Nguette,O. Nguette,08/07/94,Att.,43671
Metz ,20,7,Ibrahima Niane,I. Niane,11/03/99,Att.,63509
Metz ,20,26,Papa Ndiaga Yade,P. Yade,05/01/00,Att.,76413
Bordeaux ,18,1,Benoît Costil,B. Costil,03/07/87,Gar.,20634
Bordeaux ,18,,Darren Lima Semedo,D. Lima Semedo,27/04/02,Gar.,82617
Bordeaux ,18,40,Tidiane Malbec,T. Malbec,03/11/01,Gar.,75183
Bordeaux ,18,16,Gaëtan Poussin,G. Poussin,13/01/99,Gar.,65086
Bordeaux ,18,30,Davy Rouyard,D. Rouyard,17/08/99,Gar.,69809
Bordeaux ,18,,Mohamed Aggoun,M. Aggoun,21/02/02,Déf.,93801
Bordeaux ,18,,Tijany Atallah,T. Atallah,12/03/03,Déf.,93800
Bordeaux ,18,24,Paul Baysse,P. Baysse,18/05/88,Déf.,23369
Bordeaux ,18,,Malcom Bokele Mputu,M. Bokele Mputu,12/02/00,Déf.,87897
Bordeaux ,18,,Aïssa Boudechicha,A. Boudechicha,13/04/00,Déf.,77150
Bordeaux ,18,,Jacques Ekomie,J. Ekomie,,Déf.,93805
Marseille (OM) ,6,9,Arkadiusz Milik,A. Milik,28/02/94,Att.,47714
Marseille (OM) ,6,10,Dimitri Payet,D. Payet,29/03/87,Att.,24070
Marseille (OM) ,6,17,Cengiz Ünder,C. Ünder,14/07/97,Att.,61274
Brest ,267,33,Noé Sow,N. Sow,18/12/98,Déf.,82765
Brest ,267,20,Jere Uronen,J. Uronen,13/07/94,Déf.,46694
Brest ,267,10,Lucien Agoumé,L. Agoumé,09/02/02,Mil.,70963
Brest ,267,7,Haris Belkebla,H. Belkebla,28/01/94,Mil.,35730
Brest ,267,,Killian Benvindo,K. Benvindo,26/04/01,Mil.,69870
Brest ,267,21,Romain Faivre,R. Faivre,14/07/98,Mil.,64703
Brest ,267,8,Paul Lasne,P. Lasne,16/01/89,Mil.,255000000000000000000025947
Brest ,267,27,Hugo Magnetti,H. Magnetti,30/05/98,Mil.,61873
Brest ,267,28,Hianga'a Mbock,H. Mbock,28/12/99,Mil.,75905
Brest ,267,29,Youssouph Mamadou Badji,Y. Badji,20/12/01,Att.,79606
Brest ,267,34,Axel Camblan,A. Camblan,18/06/03,Att.,91102
Lille ,43,24,Amadou Onana,A. Onana,16/08/01,Mil.,90608
Lille ,43,,Ugo Raghouber,U. Raghouber,13/07/03,Mil.,93846
Lille ,43,10,Renato Sanches,R. Sanches,18/08/97,Mil.,58281
Lille ,43,8,Xeka,Xeka,10/11/94,Mil.,61723
Lille ,43,,Arton Zekaj,A. Zekaj,16/04/00,Mil.,69813
Lille ,43,11,Hatem Ben Arfa,H. Ben Arfa,07/03/87,Att.,20671
Lille ,43,9,Jonathan David,J. David,14/01/00,Att.,68269
Lille ,43,5,Gabriel Gudmundsson,G. Gudmundsson,29/04/99,Att.,76266
Lille ,43,,José Bica,José Bica,16/06/03,Att.,86995
Lille ,43,19,Isaac Lihadji,I. Lihadji,10/04/02,Att.,76446
Lille ,43,,Fadiga Ouattara,F. Ouattara,18/11/01,Att.,63402
Lyon (OL) ,22,45,Bradley Barcola,B. Barcola,,Att.,83812
Lyon (OL) ,22,9,Moussa Dembélé,M. Dembélé,12/07/96,Att.,51889
Lyon (OL) ,22,11,Tino Kadewere,T. Kadewere,05/01/96,Att.,69206
Lyon (OL) ,22,19,Habib Keita,H. Keita,05/02/02,Att.,84013
Lyon (OL) ,22,,Sekou Lega,S. Lega,21/01/03,Att.,87221
Lyon (OL) ,22,31,Lenny Pintor,L. Pintor,05/08/00,Att.,66392
Lyon (OL) ,22,20,Islam Slimani,I. Slimani,18/06/88,Att.,50973
Lyon (OL) ,22,7,Karl Toko Ekambi,K. Toko Ekambi,14/09/92,Att.,41100
Lens ,9,,Adrien Louveau,A. Louveau,01/02/00,Mil.,74530
Lens ,9,20,David Pereira Da Costa,D. Pereira Da. . . ,05/01/01,Mil.,71956
Lens ,9,27,Samba Sow,S. Sow,29/04/89,Mil.,18955
Lens ,9,20,Jonathan Varane,J. Varane,09/09/01,Mil.,83565
Lens ,9,33,Ibrahima Baldé,I. Baldé,17/01/03,Att.,83030
Lens ,9,9,Ignatius Ganago,I. Ganago,16/02/99,Att.,65074
Lens ,9,25,Corentin Jean,C. Jean,15/07/95,Att.,46750
Lens ,9,15,Arnaud Kalimuendo,A. Kalimuendo,20/01/02,Att.,77518
Lens ,9,,Jules Keita,J. Keita,20/07/98,Att.,69537
Lens ,9,22,Wesley Saïd,W. Saïd,19/04/95,Att.,48416
Clermont,242,34,Aïman Maurer,A. Maurer,25/09/04,Mil.,92450
Clermont,242,11,Jim Allevinah,J. Allevinah,27/02/95,Att.,75867
Clermont,242,11,Mohamed Bayo,M. Bayo,04/06/98,Att.,66093
Clermont,242,8,Jason Berthomier,J. Berthomier,06/01/90,Att.,32340
Clermont,242,,Mathis Clairicia,M. Clairicia,30/08/02,Att.,93460
Clermont,242,10,Lucas Da Cunha,L. Da Cunha,09/06/01,Att.,68264
Clermont,242,26,Pierre-Yves Hamel,P. Hamel,03/02/94,Att.,57104
Clermont,242,,Karim Mohamed,K. Mohamed,02/04/01,Att.,92449
Clermont,242,18,Elbasan Rashani,E. Rashani,09/05/93,Att.,61091
Clermont,242,9,Jordan Tell,J. Tell,10/06/97,Att.,62921
Bordeaux ,18,2,Stian Gregersen,S. Gregersen,17/05/95,Déf.,83736
Bordeaux ,18,6,Laurent Koscielny,L. Koscielny,10/09/85,Déf.,21840
Bordeaux ,18,25,Enock Kwateng,E. Kwateng,09/04/97,Déf.,55438
Bordeaux ,18,,Johaneko Louis-Jean,J. Louis-Jean,28/06/04,Déf.,93799
Bordeaux ,18,12,Ricardo Mangas,R. Mangas,19/03/98,Déf.,64007
Bordeaux ,18,3,Abdel Medioub,A. Medioub,28/08/97,Déf.,82618
Bordeaux ,18,14,Gideon Mensah,G. Mensah,18/07/98,Déf.,65406
Bordeaux ,18,4,Edson Mexer,E. Mexer,08/09/88,Déf.,35518
Bordeaux ,18,,Yaël Mouanga,Y. Mouanga,23/07/05,Déf.,93803
Bordeaux ,18,22,Timothée Pembélé,T. Pembélé,09/09/02,Déf.,82170
Brest ,267,14,Irvin Cardona,I. Cardona,08/08/97,Att.,58962
Brest ,267,25,Romain Del Castillo,R. Del Castillo,29/03/96,Att.,52568
Brest ,267,9,Franck Honorat,F. Honorat,11/08/96,Att.,50545
Brest ,267,26,Jérémy Le Douaron,J. Le Douaron,21/04/98,Att.,66883
Brest ,267,15,Steve Mounié,S. Mounié,29/09/94,Att.,50834
Brest ,267,19,Rafiki Saïd,R. Saïd,15/03/00,Att.,82626
Brest ,267,11,Martin Satriano,M. Satriano,20/02/01,Att.,84400
Lille ,43,,Mamadou Usman Simbakoli,M. Simbakoli,19/04/01,Att.,82112
Lille ,43,22,Timothy Weah,T. Weah,22/02/00,Att.,65742
Lille ,43,17,Burak Yilmaz,B. Yilmaz,15/07/85,Att.,25807
Lille ,43,23,Edon Zhegrova,E. Zhegrova,31/03/99,Att.,63887
Lens ,9,7,Florian Sotoca,F. Sotoca,25/10/90,Att.,50563
Lens ,9,33,Mohamed Cissé,M. Cissé,26/04/01,Inc.,90658
Bordeaux ,18,19,Yacine Adli,Y. Adli,29/07/00,Mil.,66128
Bordeaux ,18,,Emeric Depussay,E. Depussay,27/08/01,Mil.,72133
Bordeaux ,18,13,Fransergio,Fransergio,18/10/90,Mil.,52475
Bordeaux ,18,27,Tom Lacoux,T. Lacoux,25/01/02,Mil.,85547
Bordeaux ,18,8,Jean Onana,J. Onana,08/01/00,Mil.,79468
Bordeaux ,18,,Rudy Orea,R. Orea,04/06/02,Mil.,93804
Bordeaux ,18,5,Otavio,Otavio,04/05/94,Mil.,58019
Bordeaux ,18,,Johab Pascal,J. Pascal,10/03/00,Mil.,74994
Bordeaux ,18,20,Issouf Sissokho,I. Sissokho,30/01/02,Mil.,82620
Bordeaux ,18,17,Mehdi Zerkane,M. Zerkane,15/07/99,Mil.,66204
Bordeaux ,18,32,Dilane Bakwa,D. Bakwa,26/08/02,Att.,72044
Bordeaux ,18,7,Jimmy Briand,J. Briand,02/08/85,Att.,18966
Bordeaux ,18,37,Logan Delaurier-Chaubet,L. Delaurier-Ch. . . ,22/04/02,Att.,82621
Bordeaux ,18,21,Javairo Dilrosun,J. Dilrosun,22/06/98,Att.,70063
Bordeaux ,18,29,Alberth Elis,A. Elis,12/02/96,Att.,60376
Bordeaux ,18,18,Ui-jo Hwang,U. Hwang,28/08/92,Att.,70914
Bordeaux ,18,9,Josh Maja,J. Maja,27/12/98,Att.,61577
Bordeaux ,18,11,Sekou Mara,S. Mara,30/07/02,Att.,82623
Bordeaux ,18,23,M'Baye Niang,M. Niang,19/12/94,Att.,37439
Bordeaux ,18,,Moudja Sie Ouattara,M. Ouattara,20/05/02,Att.,82622
Bordeaux ,18,28,Rémi Oudin,R. Oudin,18/11/96,Att.,59643
Bordeaux ,18,31,Amadou Traoré,A. Traoré,07/03/02,Att.,70282
