club,club_id,number,name,short_name,DoB,poste,lequipe_id,sofifa_id
Angers ,374,16.0,Anthony Mandrea,A. Mandrea,1996-12-25,Gar.,50523,220833
Angers ,374,30.0,Danijel Petkovic,D. Petkovic,1993-05-25,Gar.,53178,240212
Angers ,374,25.0,Abdoulaye Bamba,A. Bamba,1990-04-25,Déf.,34789,199313
Angers ,374,20.0,Kevin Boma,K. Boma,2002-11-20,Déf.,77429,258457
Angers ,374,,Elhadji Pape Diaw,E. Diaw,1994-12-31,Déf.,71974,
Angers ,374,3.0,Souleyman Doumbia,S. Doumbia,1996-09-24,Déf.,53361,236454
Angers ,374,,Ismaël Dramé,I. Dramé,2001-05-27,Déf.,76808,
Angers ,374,6.0,Enzo Ebosse,E. Ebosse,1999-11-03,Déf.,58990,241007
Angers ,374,29.0,Vincent Manceau,V. Manceau,1989-10-07,Déf.,29773,189946
Angers ,374,2.0,Batista Mendy,B. Mendy,2000-12-01,Déf.,70155,244114
Angers ,374,,Blondon Meyapya,B. Meyapya,2001-10-02,Déf.,89927,
Angers ,374,24.0,Romain Thomas,R. Thomas,1988-12-06,Déf.,27254,184190
Angers ,374,8.0,Ismaël Traoré,I. Traoré,1986-08-18,Déf.,26892,184873
Angers ,374,,Kevin Bemanga,K. Bemanga,1998-04-20,Mil.,82632,
Angers ,374,23.0,Nabil Bentaleb,N. Bentaleb,1994-11-24,Mil.,50329,213296
Angers ,374,7.0,Sofiane Boufal,S. Boufal,1993-09-17,Mil.,46994,211381
Angers ,374,14.0,Billal Brahimi,B. Brahimi,2000-03-14,Mil.,76160,257975
Angers ,374,11.0,Jimmy Cabot,J. Cabot,1994-04-18,Mil.,48524,212947
Angers ,374,15.0,Pierrick Capelle,P. Capelle,1987-04-15,Mil.,37125,209781
Angers ,374,21.0,Mohamed-Ali Cho,M. Cho,2004-01-19,Mil.,82985,256476
Angers ,374,,Matteo Corduan,M. Corduan,2002-06-19,Mil.,94182,
Angers ,374,10.0,Angelo Fulgini,A. Fulgini,1996-08-20,Mil.,55834,226789
Angers ,374,,Anthony Gomez Mancini,A. Gomez Mancini,2001-06-04,Mil.,70752,245994
Angers ,374,,Walim Lgharbi,W. Lgharbi,2003-01-25,Mil.,88830,263330
Angers ,374,5.0,Thomas Mangani,T. Mangani,1987-04-29,Mil.,24586,178160
Angers ,374,12.0,Zinédine Ould Khaled,Z. Ould Khaled,2000-01-14,Mil.,76516,251912
Angers ,374,18.0,Azzedine Ounahi,A. Ounahi,2000-04-19,Mil.,76654,255125
Angers ,374,27.0,Mathias Pereira Lage,M. Pereira Lage,1996-11-30,Mil.,58974,233061
Angers ,374,26.0,Waniss Taïbi,W. Taïbi,2002-07-03,Mil.,76804,251855
Angers ,374,19.0,Stéphane Bahoken,S. Bahoken,1992-05-28,Att.,41347,203736
Angers ,374,17.0,Noah Fatar,N. Fatar,2002-02-15,Att.,76757,257171
Angers ,374,,Jason Mbock,J. Mbock,1999-01-11,Att.,66205,
Angers ,374,,Guede Noah Nadje,G. Nadje,2003-12-11,Att.,89928,263572
Angers ,374,9.0,Casimir Rodrigue Ninga,C. Ninga,1993-05-17,Att.,57815,231041
Nantes ,15,,Lucas Bonelli,L. Bonelli,2003-02-14,Gar.,91225,263441
Nantes ,15,16.0,Rémy Descamps,R. Descamps,1996-06-25,Gar.,50741,234371
Nantes ,15,1.0,Alban Lafont,A. Lafont,1999-01-23,Gar.,58416,231691
Nantes ,15,30.0,Denis Petric,D. Petric,1988-05-24,Gar.,26215,184781
Nantes ,15,12.0,Dennis Appiah,D. Appiah,1992-09-06,Déf.,36631,199191
Nantes ,15,21.0,Jean-Charles Castelletto,J. Castelletto,1995-01-26,Déf.,48700,213868
Nantes ,15,24.0,Sébastien Corchia,S. Corchia,1990-01-11,Déf.,32012,191210
Nantes ,15,2.0,Da Silva Fabio,D. Fabio,1990-09-07,Déf.,29842,189680
Nantes ,15,3.0,Andrei Girotto,A. Girotto,1992-02-17,Déf.,64846,226515
Nantes ,15,4.0,Nicolas Pallois,N. Pallois,1987-09-19,Déf.,255000000000000000000025391,199393
Nantes ,15,33.0,Abdoulaye Sylla,A. Sylla,2000-10-04,Déf.,75109,256743
Nantes ,15,14.0,Charles Traoré,C. Traoré,1992-01-01,Déf.,58852,231098
Nantes ,15,,Robin Voisine,R. Voisine,2002-07-04,Déf.,90816,
Nantes ,15,,Mohamed Achi,M. Achi,,Mil.,86742,
Nantes ,15,10.0,Ludovic Blas,L. Blas,1997-12-31,Mil.,57197,231102
Nantes ,15,5.0,Pedro Chirivella,P. Chirivella,1997-05-23,Mil.,58069,224019
Nantes ,15,11.0,Marcus Coco,M. Coco,1996-06-24,Mil.,55826,226414
Nantes ,15,8.0,Wylan Cyprien,W. Cyprien,1995-01-28,Mil.,46366,212886
Nantes ,15,,Abdoulaye Dabo,A. Dabo,2001-04-03,Mil.,69777,
Nantes ,15,,Lohann Doucet,L. Doucet,2002-09-17,Mil.,90822,
Nantes ,15,,Santiago Eneme,S. Eneme,2000-09-29,Mil.,89513,256728
Nantes ,15,17.0,Anthony Limbombe,A. Limbombe,1994-07-15,Mil.,39440,201938
Nantes ,15,,Yannis M'Bemba,Y. M'Bemba,2001-01-07,Mil.,84102,263442
Nantes ,15,31.0,Gor Manvelyan,G. Manvelyan,2002-09-04,Mil.,83378,263448
Nantes ,15,29.0,Quentin Merlin,Q. Merlin,2002-05-16,Mil.,56050,261616
Nantes ,15,18.0,Samuel Moutoussamy,S. Moutoussamy,1996-12-08,Mil.,52550,240351
Nantes ,15,6.0,Roli Pereira de Sa,R. Pereira de Sa,1996-10-12,Mil.,50750,227877
Nantes ,15,20.0,Jean-Kévin Augustin,J. Augustin,1997-06-16,Att.,53360,225713
Nantes ,15,26.0,Osman Bukari,O. Bukari,1998-12-13,Att.,83670,258608
Nantes ,15,7.0,Kalifa Coulibaly,K. Coulibaly,1991-08-21,Att.,43682,206141
Nantes ,15,19.0,Willem Geubbels,W. Geubbels,2001-08-16,Att.,63644,241266
Nantes ,15,23.0,Randal Kolo Muani,R. Kolo Muani,1998-05-12,Att.,59526,237679
Nantes ,15,27.0,Moses Daddy Simon,M. Simon,1995-12-07,Att.,55845,216820
Strasbourg ,13,36.0,Alaa Bellaarouch,A. Bellaarouch,2002-01-01,Gar.,83980,
Strasbourg ,13,16.0,Eiji Kawashima,E. Kawashima,1983-03-20,Gar.,36275,180739
Strasbourg ,13,1.0,Matz Sels,M. Sels,1992-02-26,Gar.,38393,199641
Strasbourg ,13,19.0,Anthony Caci,A. Caci,1997-01-07,Déf.,60746,236636
Strasbourg ,13,24.0,Alexander Djiku,A. Djiku,1994-09-08,Déf.,47894,212219
Strasbourg ,13,33.0,Marvin Elimbi Gilbert,M. Elimbi Gilbert,2003-02-20,Déf.,86572,263114
Strasbourg ,13,4.0,Karol Fila,K. Fila,1998-06-13,Déf.,75474,239635
Strasbourg ,13,2.0,Frédéric Guilbert,F. Guilbert,1994-12-24,Déf.,45756,227222
Strasbourg ,13,23.0,Maxime Le Marchand,M. Le Marchand,1989-11-10,Déf.,33120,192725
Strasbourg ,13,22.0,Gerzino Nyamsi,G. Nyamsi,1997-01-22,Déf.,61882,239575
Strasbourg ,13,,Abdoulaye Ousmane,A. Ousmane,2000-02-22,Déf.,76087,
Strasbourg ,13,5.0,Lucas Perrin,L. Perrin,1998-11-19,Déf.,58394,243449
Strasbourg ,13,37.0,Aymeric Ahmed,A. Ahmed,2003-08-11,Mil.,91216,
Strasbourg ,13,6.0,Jean-Eudes Aholou,J. Aholou,1994-03-20,Mil.,48281,220905
Strasbourg ,13,,Ahmed Aymeric,A. Aymeric,2003-08-11,Mil.,89511,
Strasbourg ,13,17.0,Jean-Ricner Bellegarde,J. Bellegarde,1998-06-27,Mil.,58061,235456
Strasbourg ,13,,Benjamin Besic,B. Besic,2002-02-06,Mil.,83547,
Strasbourg ,13,33.0,Mouhamadou Diarra,M. Diarra,2004-03-01,Mil.,91135,
Strasbourg ,13,34.0,Nordine Kandil,N. Kandil,2001-10-30,Mil.,91554,
Strasbourg ,13,11.0,Dimitri Liénard,D. Liénard,1988-02-13,Mil.,37283,235042
Strasbourg ,13,14.0,Sanjin Prcic,S. Prcic,1993-11-20,Mil.,36991,206167
Strasbourg ,13,27.0,Ibrahima Sissoko,I. Sissoko,1997-10-27,Mil.,58469,231089
Strasbourg ,13,33.0,Noé Sommer,N. Sommer,2001-06-17,Mil.,84565,
Strasbourg ,13,10.0,Adrien Thomasson,A. Thomasson,1993-10-12,Mil.,45466,208787
Strasbourg ,13,25.0,Ludovic Ajorque,L. Ajorque,1994-02-25,Att.,53977,219733
Strasbourg ,13,20.0,Habib Diallo,H. Diallo,1995-06-18,Att.,54331,225293
Strasbourg ,13,,Habib Diarra,H. Diarra,2004-03-01,Att.,91215,264293
Strasbourg ,13,9.0,Kévin Gameiro,K. Gameiro,1987-09-05,Att.,23364,176600
Strasbourg ,13,31.0,Moïse Dion Sahi,M. Sahi,2001-12-20,Att.,87202,261771
Strasbourg ,13,8.0,Abdul Majeed Waris,A. Waris,1991-09-19,Att.,47957,198420
Paris-SG (PSG) ,26,50.0,Gianluigi Donnarumma,G. Donnarumma,1999-02-25,Gar.,56792,230621
Rennes ,14,40.0,Dogan Alemdar,D. Alemdar,2002-10-29,Gar.,70275,245822
Montpellier ,17,16.0,Dimitry Bertaud,D. Bertaud,1998-06-06,Gar.,55640,228616
Troyes ,30,1.0,Ryan Bouallak,R. Bouallak,1999-08-19,Gar.,67652,251332
Paris-SG (PSG) ,26,,Garissone Innocent,G. Innocent,2000-04-16,Gar.,70145,
Paris-SG (PSG) ,26,60.0,Alexandre Letellier,A. Letellier,1990-11-12,Gar.,36512,199574
Paris-SG (PSG) ,26,1.0,Keylor Navas,K. Navas,1986-12-15,Gar.,35349,193041
Paris-SG (PSG) ,26,14.0,Juan Bernat,J. Bernat,1993-01-03,Déf.,43327,205069
Paris-SG (PSG) ,26,31.0,El Chadaille Bitshiabu,E. Bitshiabu,2005-05-16,Déf.,82555,
Paris-SG (PSG) ,26,17.0,Colin Dagba,C. Dagba,1998-09-09,Déf.,59115,241497
Paris-SG (PSG) ,26,22.0,Abdou Diallo,A. Diallo,1996-04-05,Déf.,50508,225711
Paris-SG (PSG) ,26,2.0,Achraf Hakimi,A. Hakimi,1998-04-11,Déf.,62473,235212
Paris-SG (PSG) ,26,24.0,Thilo Kehrer,T. Kehrer,1996-09-21,Déf.,56086,226229
Paris-SG (PSG) ,26,3.0,Presnel Kimpembe,P. Kimpembe,1995-08-13,Déf.,50744,225850
Paris-SG (PSG) ,26,20.0,Layvin Kurzawa,L. Kurzawa,1992-04-09,Déf.,36660,201510
Rennes ,14,30.0,Pepe Bonet,P. Bonet,2003-02-13,Gar.,77551,253497
Rennes ,14,16.0,Alfred Gomis,A. Gomis,1993-05-09,Gar.,46865,201976
Rennes ,14,1.0,Romain Salin,R. Salin,1984-07-29,Gar.,20417,150477
Rennes ,14,6.0,Nayef Aguerd,N. Aguerd,1996-03-30,Déf.,69535,244749
Rennes ,14,22.0,Lorenz Assignon,L. Assignon,2000-06-22,Déf.,84002,260574
Rennes ,14,4.0,Loïc Badé,L. Badé,2000-11-04,Déf.,68185,255106
Rennes ,14,,Jérémy Gélin,J. Gélin,1997-04-24,Déf.,58130,231263
Rennes ,14,25.0,Birger Meling,B. Meling,1994-12-17,Déf.,65332,219466
Rennes ,14,23.0,Warmed Omari,W. Omari,2000-04-23,Déf.,82656,256854
Rennes ,14,27.0,Hamari Traoré,H. Traoré,1992-01-27,Déf.,46374,219789
Rennes ,14,3.0,Adrien Truffert,A. Truffert,2001-11-20,Déf.,82608,256769
Montpellier ,17,30.0,Matis Carvalho,M. Carvalho,1999-04-28,Gar.,71248,246603
Montpellier ,17,1.0,Jonas Omlin,J. Omlin,1994-10-01,Gar.,53388,223550
Montpellier ,17,31.0,Nicolas Cozza,N. Cozza,1999-08-01,Déf.,61762,239136
Montpellier ,17,14.0,Maxime Estève,M. Estève,2002-05-26,Déf.,78027,262042
Montpellier ,17,,Redouane Halhal,R. Halhal,2003-05-03,Déf.,90800,
Montpellier ,17,5.0,Pedro Mendes,P. Mendes,1990-01-10,Déf.,48186,200677
Montpellier ,17,8.0,Ambroise Oyongo,A. Oyongo,1991-06-22,Déf.,54929,218540
Montpellier ,17,7.0,Mihailo Ristic,M. Ristic,1995-10-31,Déf.,61597,240223
Montpellier ,17,3.0,Mamadou Sakho,M. Sakho,1990-02-13,Déf.,26642,183285
Montpellier ,17,2.0,Arnaud Souquet,A. Souquet,1992-12-02,Déf.,33372,193470
Troyes ,30,30.0,Gauthier Gallon,G. Gallon,1993-04-23,Gar.,41996,214680
Troyes ,30,,Ronan Jay,R. Jay,2001-04-25,Gar.,71897,
Troyes ,30,40.0,Jessy Moulin,J. Moulin,1986-01-13,Gar.,22556,172198
Troyes ,30,16.0,Sébastien Rénot,S. Rénot,1989-11-11,Gar.,36210,244120
Troyes ,30,,Benrandy Abdallah,B. Abdallah,1999-01-07,Déf.,70774,
Troyes ,30,,Enzo Alfatahi,E. Alfatahi,2003-09-07,Déf.,84496,
Troyes ,30,4.0,Giulian Biancone,G. Biancone,2000-03-31,Déf.,71203,246679
Troyes ,30,12.0,Abdu Conté,A. Conté,1998-03-24,Déf.,72009,247180
Troyes ,30,19.0,Oualid El-Hajjam,O. El-Hajjam,1991-02-19,Déf.,32762,234514
Troyes ,30,8.0,Jimmy Giraudon,J. Giraudon,1992-01-16,Déf.,37189,208862
Troyes ,30,29.0,Issa Kaboré,I. Kaboré,2001-12-05,Déf.,77593,253052
Saint-Étienne (ASSE) ,38,1.0,Stefan Bajic,S. Bajic,2001-12-23,Gar.,70139,245865
Reims ,211,16.0,Yehvann Diouf,Y. Diouf,1999-11-16,Gar.,60747,235633
Nice ,46,40.0,Walter Benitez,W. Benitez,1993-01-19,Gar.,59550,215223
Paris-SG (PSG) ,26,5.0,Marquinhos,Marquinhos,1994-05-14,Déf.,46961,207865
Paris-SG (PSG) ,26,25.0,Nuno Mendes,N. Mendes,2002-06-19,Déf.,76513,252145
Paris-SG (PSG) ,26,4.0,Sergio Ramos,S. Ramos,1986-03-30,Déf.,20248,155862
Paris-SG (PSG) ,26,39.0,Nathan Bitumazala,N. Bitumazala,2002-10-12,Mil.,89618,264026
Paris-SG (PSG) ,26,11.0,Angel Di Maria,A. Di Maria,1988-02-14,Mil.,27703,183898
Paris-SG (PSG) ,26,28.0,Eric Junior Dina Ebimbe,E. Dina Ebimbe,2000-11-21,Mil.,69864,248573
Paris-SG (PSG) ,26,23.0,Julian Draxler,J. Draxler,1993-09-20,Mil.,40344,202166
Paris-SG (PSG) ,26,35.0,Ismaël Gharbi,I. Gharbi,2004-10-04,Mil.,87213,263194
Paris-SG (PSG) ,26,27.0,Idrissa Gueye,I. Gueye,1989-09-26,Mil.,32874,193474
Paris-SG (PSG) ,26,21.0,Ander Herrera,A. Herrera,1989-08-14,Mil.,33993,191740
Paris-SG (PSG) ,26,38.0,Edouard Michut,E. Michut,2003-04-03,Mil.,82557,261249
Rennes ,14,33.0,Jeanuël Belocian,J. Belocian,2005-02-17,Mil.,94162,
Rennes ,14,14.0,Benjamin Bourigeaud,B. Bourigeaud,1994-01-14,Mil.,46363,214097
Rennes ,14,,Noah Françoise,N. Françoise,2003-05-07,Mil.,88825,
Rennes ,14,21.0,Lovro Majer,L. Majer,1998-01-17,Mil.,63390,244261
Rennes ,14,28.0,Jonas Martin,J. Martin,1990-09-04,Mil.,32111,197813
Rennes ,14,,Isaac Matondo,I. Matondo,1999-03-24,Mil.,62984,
Rennes ,14,,Trésor Matondo,T. Matondo,2003-07-24,Mil.,93835,
Rennes ,14,8.0,Baptiste Santamaria,B. Santamaria,1995-09-03,Mil.,51661,219792
Rennes ,14,20.0,Flavien Tait,F. Tait,1993-02-02,Mil.,48782,213388
Rennes ,14,26.0,Lesley Ugochukwu,L. Ugochukwu,2004-03-26,Mil.,82657,257084
Rennes ,14,19.0,Andy Diouf,A. Diouf,2003-05-17,Att.,87421,
Montpellier ,17,22.0,Mathias Suarez,M. Suarez,1996-06-24,Déf.,71137,246387
Montpellier ,17,17.0,Thibault Tamas,T. Tamas,2001-02-20,Déf.,75914,254995
Montpellier ,17,26.0,Thuler,Thuler,1999-10-03,Déf.,73152,262908
Montpellier ,17,,Gabriel Bares,G. Bares,2000-08-29,Mil.,83383,256697
Montpellier ,17,13.0,Joris Chotard,J. Chotard,2001-09-24,Mil.,76697,252541
Montpellier ,17,,Sacha Delaye,S. Delaye,2002-04-23,Mil.,77122,264027
Montpellier ,17,12.0,Jordan Ferri,J. Ferri,1992-12-03,Mil.,36628,206306
Montpellier ,17,18.0,Léo Leroy,L. Leroy,2000-02-14,Mil.,72120,247599
Montpellier ,17,25.0,Florent Mollet,F. Mollet,1991-11-19,Mil.,45598,209288
Montpellier ,17,6.0,Junior Salomon Sambia,J. Sambia,1996-07-09,Mil.,53621,223570
Montpellier ,17,11.0,Téji Savanier,T. Savanier,1991-12-22,Mil.,33063,205686
Troyes ,30,,Ruddy Kohon,R. Kohon,2004-05-23,Déf.,90642,
Troyes ,30,3.0,Youssouf Koné,Y. Koné,1995-05-07,Déf.,50743,222160
Troyes ,30,22.0,Yasser Larouci,Y. Larouci,2001-01-01,Déf.,76319,252302
Troyes ,30,2.0,Erik Palmer-Brown,E. Palmer-Brown,1997-04-24,Déf.,67058,219461
Troyes ,30,23.0,Adil Rami,A. Rami,1985-12-27,Déf.,26847,183280
Troyes ,30,17.0,Yoann Salmier,Y. Salmier,1992-11-21,Déf.,53771,235553
Troyes ,30,35.0,Tanguy Zoukrou,T. Zoukrou,2003-07-05,Déf.,90643,
Troyes ,30,15.0,Karim Azamoum,K. Azamoum,1990-01-17,Mil.,39609,216237
Troyes ,30,14.0,Dylan Chambost,D. Chambost,1997-08-19,Mil.,66890,245855
Troyes ,30,24.0,Xavier Chavalerin,X. Chavalerin,1991-07-03,Mil.,35862,193683
Saint-Étienne (ASSE) ,38,,Paul Bernardoni,P. Bernardoni,1997-04-18,Gar.,53623,223898
Saint-Étienne (ASSE) ,38,16.0,Boubacar Fall,B. Fall,2001-03-02,Gar.,85655,260326
Saint-Étienne (ASSE) ,38,40.0,Etienne Green,E. Green,2000-07-19,Gar.,76752,259166
Saint-Étienne (ASSE) ,38,,Nabil Ouennas,N. Ouennas,2003-12-07,Gar.,87203,
Saint-Étienne (ASSE) ,38,,Abdoulaye Bakayoko,A. Bakayoko,2002-12-15,Déf.,86331,
Saint-Étienne (ASSE) ,38,34.0,Lucas Calodat,L. Calodat,2002-06-02,Déf.,76995,
Saint-Étienne (ASSE) ,38,,Joris Gnagnon,J. Gnagnon,1997-01-13,Déf.,58224,231361
Saint-Étienne (ASSE) ,38,5.0,Timothée Kolodziejczak,T. Kolodziejczak,1991-01-10,Déf.,29821,190034
Saint-Étienne (ASSE) ,38,,Steven Leleux,S. Leleux,,Déf.,76753,
Saint-Étienne (ASSE) ,38,,Lucas Llort,L. Llort,1999-08-06,Déf.,75983,
Reims ,211,30.0,Nicolas Penneteau,N. Penneteau,1981-02-28,Gar.,2873,18122
Reims ,211,1.0,Predrag Rajkovic,P. Rajkovic,1995-10-31,Gar.,50247,241727
Reims ,211,5.0,Yunis Abdelhamid,Y. Abdelhamid,1987-09-28,Déf.,44579,206493
Reims ,211,4.0,Maxime Busi,M. Busi,1999-10-14,Déf.,69475,245084
Reims ,211,,Ibrahim Diakité,I. Diakité,2003-10-31,Déf.,90675,
Reims ,211,2.0,Wout Faes,W. Faes,1998-03-04,Déf.,59812,235036
Reims ,211,32.0,Thomas Foket,T. Foket,1994-09-25,Déf.,46078,208509
Reims ,211,6.0,Andreaw Gravillon,A. Gravillon,1998-08-02,Déf.,58671,239550
Reims ,211,3.0,Ghislain Konan,G. Konan,1995-12-27,Déf.,62090,235634
Reims ,211,28.0,Bradley Locko,B. Locko,2002-06-05,Déf.,81581,263908
Reims ,211,29.0,Moustapha Mbow,M. Mbow,2000-08-03,Déf.,88602,247248
Nice ,46,16.0,Teddy Boulhendi,T. Boulhendi,2001-09-04,Gar.,71043,257235
Nice ,46,1.0,Marcin Bulka,M. Bulka,1999-04-10,Gar.,65095,238186
Nice ,46,,Ange Ahoussou,A. Ahoussou,2003-12-22,Déf.,93959,
Nice ,46,12.0,Jordan Amavi,J. Amavi,1994-09-03,Déf.,50469,219681
Nice ,46,20.0,Youcef Atal,Y. Atal,1996-05-17,Déf.,65925,240754
Nice ,46,26.0,Melvin Bard,M. Bard,2000-06-11,Déf.,66131,254548
Nice ,46,,Noah Crétier,N. Crétier,2001-11-14,Déf.,75179,
Nice ,46,5.0,Flavius Daniliuc,F. Daniliuc,2001-04-27,Déf.,82013,252017
Nice ,46,4.0,Dante,Dante,1983-10-18,Déf.,20255,158625
Nice ,46,23.0,Jordan Mvula Lotomba,J. Lotomba,1998-09-29,Déf.,59612,234686
Nice ,46,,Antoine Mendy,A. Mendy,2004-05-27,Déf.,87417,
Paris-SG (PSG) ,26,8.0,Leandro Paredes,L. Paredes,1994-06-29,Mil.,47797,207439
Paris-SG (PSG) ,26,15.0,Danilo Pereira,D. Pereira,1991-09-09,Mil.,41511,200888
Paris-SG (PSG) ,26,34.0,Xavi Simons,X. Simons,2003-04-21,Mil.,76045,245367
Paris-SG (PSG) ,26,6.0,Marco Verratti,M. Verratti,1992-05-11,Mil.,45183,199556
Paris-SG (PSG) ,26,18.0,Georginio Wijnaldum,G. Wijnaldum,1990-11-11,Mil.,255000000000000000000025727,181291
Paris-SG (PSG) ,26,9.0,Mauro Icardi,M. Icardi,1993-02-19,Att.,46869,201399
Paris-SG (PSG) ,26,7.0,Kylian Mbappé,K. Mbappé,1998-12-20,Att.,58221,231747
Paris-SG (PSG) ,26,30.0,Lionel Messi,L. Messi,1987-06-24,Att.,21740,158023
Paris-SG (PSG) ,26,10.0,Neymar,Neymar,1992-05-02,Att.,39792,190871
Rennes ,14,11.0,Jérémy Doku,J. Doku,2002-05-27,Att.,71200,246420
Rennes ,14,,Metehan Güçlü,M. Güçlü,1999-02-04,Att.,62669,247508
Rennes ,14,9.0,Serhou Guirassy,S. Guirassy,1996-12-03,Att.,51662,215441
Rennes ,14,,Junior Kadile,J. Kadile,2002-12-16,Att.,82658,257083
